Carimbo de data/hora,otica,Data,servicos,valor
01/11/2024 09:31:28,otica-zonatto,01/11/2024,fechamento anterior,511
01/11/2024 09:31:28,otica-ampla-visao,01/11/2024,fechamento anterior,262
01/11/2024 09:31:28,otica-malosti,01/11/2024,fechamento anterior,1169
01/11/2024 09:31:28,otica-marine,01/11/2024,fechamento anterior,400
01/11/2024 09:31:28,visao-araucaria,01/11/2024,fechamento anterior,122
01/11/2024 09:31:28,otica-sao-braz,01/11/2024,fechamento anterior,200
01/11/2024 09:31:28,outlet-dos-oculos,01/11/2024,fechamento anterior,526
01/11/2024 09:31:28,exame-visao,01/11/2024,fechamento anterior,314
01/11/2024 09:31:28,scarpim,01/11/2024,fechamento anterior,54
01/11/2024 09:31:28,isa-batel,01/11/2024,fechamento anterior,42
01/11/2024 09:31:28,opticolor,01/11/2024,1 mola,20
01/11/2024 14:24:50,preco-pop-fazenda,01/11/2024,1 mola,20
01/11/2024 14:40:53,preco-pop-alm-tamandare,01/11/2024,1 solda,16
01/11/2024 16:13:40,outlet-dos-oculos,01/11/2024,1 conserto,16
01/11/2024 18:27:14,opticolor,01/11/2024,1 ponteira,12
04/11/2024 07:41:51,estilo-visao,01/11/2024,1 solda + peça + 1 ajuste,23
04/11/2024 08:14:57,outlet-dos-oculos,04/11/2024,1 solda + 1 peça,20
04/11/2024 12:15:32,otica-central,04/11/2024,1 solda,16
04/11/2024 12:24:22,otica-marine,04/11/2024,1 solda,16
04/11/2024 14:07:49,otica-visiolux,04/11/2024,1 mola,20
04/11/2024 14:30:08,otica-teffe,04/11/2024,1 solda + 1 ajuste,26
04/11/2024 16:20:36,martini,04/11/2024,1 mola,20
04/11/2024 16:30:36,preco-popular-cic,04/11/2024,1 conserto,16
04/11/2024 18:33:38,otica-central,04/11/2024,1 mola,20
04/11/2024 18:48:28,otica-visiolux,04/11/2024,1 conserto + 1 ajuste,20
04/11/2024 18:54:11,otica-teffe,04/11/2024,1 mola,20
04/11/2024 18:58:50,sao-braz-ecoville,04/11/2024,1 conserto,16
04/11/2024 19:19:32,exame-visao,04/11/2024,2 soldas,32
05/11/2024 07:34:40,preco-popular-duda-loja3,04/11/2024,1 solda,16
05/11/2024 07:35:26,otica-anita,04/11/2024,1 mola,20
05/11/2024 10:02:02,otica-central,05/11/2024,1 conserto + peça,18
05/11/2024 10:59:52,outlet-dos-oculos,05/11/2024,1 solda + 2 ajustes,36
05/11/2024 13:22:46,otica-marine,05/11/2024,1 ajuste,10
05/11/2024 13:57:54,otica-teffe,05/11/2024,1 mola,20
05/11/2024 13:58:50,opticolor,05/11/2024,1 mola,20
05/11/2024 14:02:24,otica-visiolux,05/11/2024,1 solda + 1 ajuste,26
05/11/2024 15:43:19,preco-pop-fazenda,05/11/2024,1 ajuste,10
05/11/2024 15:55:13,otica-sao-braz,05/11/2024,1 mola,20
05/11/2024 16:10:28,preco-popular-duda-loja3,05/11/2024,1 mola,20
05/11/2024 18:42:37,otica-teffe,05/11/2024,2 molas,40
05/11/2024 19:19:28,preco-popular-cic,05/11/2024,1 solda + peça,20
05/11/2024 19:34:36,exame-visao,05/11/2024,3 molas,60
05/11/2024 20:06:07,preco-pop-fazenda,05/11/2024,1 solda + peça,20
06/11/2024 10:17:53,outlet-dos-oculos,06/11/2024,2 consertos,32
06/11/2024 14:09:05,otica-sao-braz,06/11/2024,1 mola,20
06/11/2024 14:15:46,scarpim,06/11/2024,1 mola,20
06/11/2024 14:22:09,opticolor,06/11/2024,1 mola,20
06/11/2024 14:44:22,otica-anita,06/11/2024,1 mola + 1 solda,36
06/11/2024 16:14:23,preco-pop-fazenda,06/11/2024,1 conserto,16
06/11/2024 16:55:37,otica-visoluz,06/11/2024,1 mola + 1 solda + 1 conserto + peça,54
06/11/2024 18:39:44,sao-braz-ecoville,06/11/2024,1 conserto,18
06/11/2024 18:49:34,isa-batel,06/11/2024,1 conserto + peça,18
07/11/2024 09:30:35,visao-araucaria,07/11/2024,1 conserto,16
07/11/2024 10:52:06,outlet-dos-oculos,07/11/2024,1 conserto + 1 mola,36
07/11/2024 11:19:16,otica-malosti,07/11/2024,1 mola,20
07/11/2024 11:53:54,otica-marin,07/11/2024,1 ajuste,10
07/11/2024 12:25:51,otica-ipanema,07/11/2024,2 plaq + 1 ponteira,16
07/11/2024 14:11:26,sao-braz-ecoville,07/11/2024,1 ajuste,10
07/11/2024 14:45:31,opticolor,07/11/2024,1 ajuste,10
07/11/2024 16:13:49,otica-viena,07/11/2024,os745 1 solda + peça,18
07/11/2024 16:21:08,otica-perfil,01/11/2024,1 ajuste,10
07/11/2024 16:21:20,otica-perfil,07/11/2024,1 solda,16
07/11/2024 16:30:33,preco-pop-fazenda,07/11/2024,2 molas,40
07/11/2024 18:01:54,outlet-dos-oculos,08/11/2024,1 mola,20
07/11/2024 18:35:13,sao-braz-ecoville,07/11/2024,1 mola,20
07/11/2024 18:54:08,otica-visiolux,07/11/2024,1 par de haste + 2 ajustes,50
07/11/2024 19:04:53,vista-alegre,07/11/2024,1 solda + peça,18
08/11/2024 12:18:41,isa-batel,08/11/2024,1 mola,20
08/11/2024 12:37:13,outlet-dos-oculos,08/11/2024,1 par de haste,30
08/11/2024 13:29:26,otica-marine,08/11/2024,1 mola + 1 ajuste,24
08/11/2024 14:12:29,opticolor,08/11/2024,1 mola,20
08/11/2024 14:21:04,otica-teffe,08/11/2024,1 conserto + peça,18
08/11/2024 14:27:03,isa-batel,08/11/2024,1 conserto,16
08/11/2024 15:58:24,preco-pop-fazenda,08/11/2024,1 conserto + 1 ajuste,26
08/11/2024 18:20:51,otica-ampla-visao,08/11/2024,1 solda,16
11/11/2024 14:15:52,sao-braz-ecoville,11/11/2024, 1 solda,16
11/11/2024 14:48:49,otica-anita,11/11/2024,2 molas,40
11/11/2024 15:16:45,otica-visiolux,11/11/2024,2 ajustes + 1 mola,40
11/11/2024 16:42:40,estilo-visao,11/11/2024,2 ajustes,20
11/11/2024 18:04:15,preco-pop-fazenda,11/11/2024,1 mola,20
11/11/2024 18:06:17,otica-sao-braz,11/11/2024,3 molas,60
11/11/2024 19:37:04,otica-ampla-visao,11/11/2024,1 solda + 1 polimento,36
11/11/2024 19:45:45,scarpim,11/11/2024,1 mola,20
11/11/2024 20:11:55,isa-batel,11/11/2024,1 conserto,16
11/11/2024 20:37:23,otica-ampla-visao,11/11/2024,1 mola,20
11/11/2024 20:56:10,otica-sao-braz,11/11/2024,2 molas,40
11/11/2024 21:06:17,isa-batel,11/11/2024,1 ajuste,10
11/11/2024 21:21:25,preco-popular-duda-loja3,11/11/2024,1 solda,16
12/11/2024 07:44:47,otica-ampla-visao,12/11/2024,1 tirar grude,20
12/11/2024 08:03:20,outlet-dos-oculos,12/11/2024,2 molas + 1 ajuste + 2 consertos+ peças,86
12/11/2024 10:19:47,otica-marine,12/11/2024,1 mola,20
12/11/2024 12:16:14,outlet-dos-oculos,12/11/2024,1 solda + peça,18
12/11/2024 13:43:44,preco-pop-alm-tamandare,12/11/2024,1 solda,16
12/11/2024 14:12:44,otica-teffe,12/11/2024,1 mola,20
12/11/2024 14:22:54,sao-braz-ecoville,12/11/2024,2 molas,40
12/11/2024 14:38:08,otica-perfil,12/11/2024,1 ajuste,10
12/11/2024 14:49:10,otica-zonatto,12/11/2024,2 molas,40
12/11/2024 15:51:11,otica-viena,12/11/2024,os747 1 mola,20
12/11/2024 16:08:07,otica-ipanema,12/11/2024,2 ajustes,20
12/11/2024 16:12:58,preco-pop-fazenda,12/11/2024,1 par de haste,32
12/11/2024 17:06:50,preco-popular-cic,12/11/2024,1 mola,20
12/11/2024 17:29:32,preco-popular-cic,12/11/2024,1 solda + peça,18
12/11/2024 17:44:30,otica-sao-braz,12/11/2024,2 molas,40
12/11/2024 18:48:01,otica-teffe,12/11/2024,1 mola + 1 solda,36
12/11/2024 18:52:23,sao-braz-ecoville,12/11/2024,1 ajuste,10
12/11/2024 18:57:39,opticolor,12/11/2024,1 conserto,16
12/11/2024 19:25:52,otica-visiolux,12/11/2024,1 mola + 1 solda + 1 ajuste,46
12/11/2024 19:44:27,estilo-visao,12/11/2024,1 conserto,16
12/11/2024 19:49:35,preco-popular-duda-loja3,12/11/2024,1 solda,16
13/11/2024 11:40:43,outlet-dos-oculos,13/11/2024,2 par de haste + 1 solda,76
13/11/2024 12:07:03,vista-alegre,13/11/2024,1 conserto,16
13/11/2024 13:43:23,otica-malosti,13/11/2024,1 ajuste,10
13/11/2024 14:46:46,otica-ampla-visao,13/11/2024,1 solda + peça,18
13/11/2024 14:57:07,preco-popular-cic,13/11/2024,1 mola,20
13/11/2024 16:53:30,exame-visao,13/11/2024,1 mola + 1 par de haste,45
13/11/2024 18:13:26,opticolor,13/11/2024,1 par de haste,30
