Carimbo de data/hora,otica,Data,servicos,valor
01/02/2023 11:41:09,laboratorio-universo,01/02/2023,fechamento anterior,654
01/02/2023 11:41:09,sao-braz-ponto-final,01/02/2023,fechamento anterior,393
01/02/2023 11:41:09,otica-clauss,01/02/2023,fechamento anterior,16
01/02/2023 11:41:09,otica-perfil,01/02/2023,fechamento anterior,72
01/02/2023 11:41:09,otica-zonatto,01/02/2023,fechamento anterior,98
01/02/2023 11:41:09,otica-visoluz,01/02/2023,fechamento anterior,95
01/02/2023 11:41:09,outlet-dos-oculos,01/02/2023,fechamento anterior,515
01/02/2023 11:41:09,exame-visao,01/02/2023,fechamento anterior,244
01/02/2023 11:41:09,vista-alegre,01/02/2023,fechamento anterior,76
01/02/2023 11:41:09,otica-malosti,01/02/2023,fechamento anterior,757
01/02/2023 11:41:09,otica-marine,01/02/2023,fechamento anterior,400
01/02/2023 11:41:09,estilo-visao,01/02/2023,fechamento anterior,43
01/02/2023 11:41:09,preco-popular-posto,01/02/2023,fechamento anterior,176
01/02/2023 11:41:09,preco-popular-portao,01/02/2023,fechamento anterior,261
01/02/2023 11:41:09,visao-araucaria,01/02/2023,fechamento anterior,233
01/02/2023 11:41:09,preco-popular-duda-loja3,01/02/2023,1 conserto,16
01/02/2023 12:05:17,laboratorio-universo,01/02/2023,1 solda + 3 molas,76
01/02/2023 14:06:26,opticolor,01/02/2023,1 conserto,16
01/02/2023 14:23:54,klim-otica,01/02/2023,1 mola,20
01/02/2023 14:34:56,otica-perfil,01/02/2023,1 conserto,16
01/02/2023 14:51:17,otica-malosti,01/02/2023,1 conserto,16
01/02/2023 18:09:27,otica-visoluz,01/02/2023,1 ajuste,10
01/02/2023 18:34:54,visao-araucaria,01/02/2023,os 1927 1 ajuste,10
01/02/2023 19:16:38,otica-anita,01/02/2023,1 mola,20
01/02/2023 19:26:40,otica-malosti,01/02/2023,1 mola + 2 ajustes,40
02/02/2023 10:09:19,otica-miraluz,02/02/2023,1 ajuste,6
02/02/2023 10:14:39,otica-marin,02/02/2023,1 ajuste,10
