Carimbo de data/hora,otica,Data,servicos,valor
02/01/2023 10:11:32,sao-braz-ponto-final,02/01/2023,fechamento anterior,393
02/01/2023 10:11:32,otica-malosti,02/01/2023,fechamento anterior,574
02/01/2023 10:11:32,otica-marine,02/01/2023,fechamento anterior,435
02/01/2023 10:11:32,otica-marin,02/01/2023,fechamento anterior,102
02/01/2023 10:11:32,preco-popular-posto,02/01/2023,fechamento anterior,148
02/01/2023 10:11:32,preco-popular-portao,02/01/2023,fechamento anterior,157
02/01/2023 10:11:32,klim-otica,02/01/2023,fechamento anterior,36
02/01/2023 10:11:32,visao-araucaria,02/01/2023,fechamento anterior,384
02/01/2023 10:11:32,top-vision,02/01/2023,fechamento anterior,40
02/01/2023 10:11:32,preco-pop-fazenda,02/01/2023,1 solda,16
02/01/2023 10:11:46,otica-malosti,02/01/2023,1 mola,20
02/01/2023 10:17:17,otica-teffe,02/01/2023,1 mola,20
02/01/2023 10:50:06,preco-pop-alm-tamandare,02/01/2023,2 soldas + 2 peças,36
02/01/2023 13:16:08,laboratorio-universo,02/01/2023,1 mola,20
02/01/2023 17:25:29,outlet-dos-oculos,02/01/2023,2 consertos + 2 peças + 3 ajustes + 1 par de haste,91
02/01/2023 18:18:25,top-vision,02/01/2023,1 conserto + 1 peça,18
02/01/2023 19:16:26,otica-zonatto,02/01/2023,2 molas,40
03/01/2023 07:40:35,otica-ampla-visao,02/01/2023,1 solda,16
03/01/2023 07:52:56,otica-teffe,02/01/2023,1 conserto + 1 ajuste,26
03/01/2023 08:04:28,exame-visao,02/01/2023,1 solda,16
03/01/2023 10:59:38,preco-popular-duda-loja3,03/01/2023,1 solda,16
03/01/2023 11:28:51,otica-sao-braz,03/01/2023,1 solda,16
03/01/2023 16:12:09,parque-otica,03/01/2023,1 solda + 1 ajuste,26
03/01/2023 18:29:21,otica-prado,03/01/2023,1 solda,16
03/01/2023 18:41:51,visao-araucaria,03/01/2023,os 1755 1 conserto,16
03/01/2023 19:16:10,outlet-dos-oculos,03/01/2023,3 soldas,48
04/01/2023 10:09:05,otica-miraluz,04/01/2023,1 conserto,16
04/01/2023 11:13:51,otica-prado,04/01/2023,1 solda + 1 ajuste,21
04/01/2023 12:51:07,parque-otica,04/01/2023,1 solda + 1 peça,18
04/01/2023 14:53:17,laboratorio-universo,04/01/2023,1 mola + 1 solda,36
04/01/2023 16:18:27,klim-otica,04/01/2023,3 soldas,48
04/01/2023 17:05:11,otica-marine,04/01/2023,1 solda + 1 ponteira + 1 plaqueta RB,36
04/01/2023 19:11:59,preco-popular-portao,04/01/2023,1 mola + 1 par de haste + 1 conserto,61
04/01/2023 19:32:26,visao-araucaria,04/01/2023,os 1758 1 par de haste,25
04/01/2023 19:41:20,preco-popular-posto,04/01/2023,1 solda,16
04/01/2023 19:41:33,exame-visao,04/01/2023,1 solda,16
04/01/2023 19:42:22,outlet-dos-oculos,04/01/2023,1 solda,16
05/01/2023 13:59:00,otica-marine,05/01/2023,1 ajuste,10
05/01/2023 14:27:02,klim-otica,05/01/2023,1 conserto,16
05/01/2023 14:38:15,otica-visiolux,05/01/2023,2 molas,40
05/01/2023 16:45:53,otica-sao-braz,05/01/2023,1 mola,20
05/01/2023 16:59:39,preco-popular-portao,05/01/2023,1 conserto + 1 peça + 1 ajuste,23
05/01/2023 18:24:50,otica-teffe,05/01/2023,1 mola,20
