Carimbo de data/hora,otica,Data,servicos,valor
01/06/2023 14:17:16,otica-zonatto,01/06/2023,fechamento anterior,252
01/06/2023 14:17:16,otica-ampla-visao,01/06/2023,fechamento anterior,395
01/06/2023 14:17:16,otica-malosti,01/06/2023,fechamento anterior,707
01/06/2023 14:17:16,otica-marine,01/06/2023,fechamento anterior,536
01/06/2023 14:17:16,outlet-dos-oculos,01/06/2023,fechamento anterior,340
01/06/2023 14:17:16,exame-visao,01/06/2023,fechamento anterior,85
01/06/2023 14:17:16,sao-braz-ponto-final,01/06/2023,fechamento anterior,393
01/06/2023 14:17:16,otica-sao-braz,01/06/2023,1 conserto,16
01/06/2023 15:44:39,preco-popular-duda-loja3,01/06/2023,1 mola,20
01/06/2023 17:46:59,preco-pop-fazenda,01/06/2023,1 mola + 1 solda,36
01/06/2023 18:43:57,exame-visao,01/06/2023,1 mola,20
01/06/2023 18:44:08,otica-visoluz,01/06/2023,1 mola,20
01/06/2023 18:54:47,klim-otica,01/06/2023,1 mola,20
01/06/2023 19:13:33,otica-anita,01/06/2023,1 mola + 1 solda + 1 peça,38
01/06/2023 19:21:47,estilo-visao,01/06/2023,1 mola,20
01/06/2023 19:26:38,vista-alegre,01/06/2023,1 mola,20
01/06/2023 19:35:38,otica-perfil,01/06/2023,1 conserto,16
01/06/2023 19:42:47,outlet-dos-oculos,01/06/2023,1 mola,20
02/06/2023 07:54:13,otica-marine,01/06/2023,1 mola + 1 ajuste,22
02/06/2023 10:21:39,klim-otica,02/06/2023,1 limpeza,20
02/06/2023 10:52:03,otica-miraluz,02/06/2023,1 par de haste,25
02/06/2023 14:00:36,preco-popular-duda-loja3,02/06/2023,2 soldas + 1 mola,52
02/06/2023 14:08:32,otica-teffe,02/06/2023,1 solda,16
02/06/2023 16:34:32,otica-central,02/06/2023,1 mola,20
02/06/2023 16:50:00,exame-visao,02/06/2023,1 conserto + 1 peça,18
02/06/2023 19:10:34,otica-ampla-visao,02/06/2023,1 mola,20
03/06/2023 10:13:50,outlet-dos-oculos,03/06/2023,3 molas + 1 conserto + 1 peça,78
03/06/2023 10:31:17,otica-sao-braz,03/06/2023,1 mola,20
05/06/2023 15:09:10,otica-ampla-visao,05/06/2023,1 mola,20
05/06/2023 16:10:08,estilo-visao,05/06/2023,1 ajuste,10
05/06/2023 16:24:14,otica-viena,05/06/2023,os 502 1 mola,20
05/06/2023 16:53:28,otica-perfil,05/06/2023,1 solda,16
05/06/2023 17:23:35,preco-pop-fazenda,05/06/2023,1 plaqueta + 1 solda,20
05/06/2023 17:32:12,sao-braz-orleans,05/06/2023,1 mola,20
05/06/2023 17:51:00,otica-visiolux,05/06/2023,1 ajuste,10
05/06/2023 17:59:39,exame-visao,05/06/2023,1 solda + 1 peça,18
05/06/2023 18:11:54,outlet-dos-oculos,05/06/2023,1 solda + 1 peça,18
05/06/2023 18:57:58,otica-miraluz,05/06/2023,1 solda,16
05/06/2023 19:28:25,parque-otica,05/06/2023,2 soldas,32
05/06/2023 19:41:05,preco-popular-duda-loja3,05/06/2023,2 soldas + 1 peça + 1 conserto,50
06/06/2023 08:43:37,otica-malosti,05/06/2023,1 conserto + 1 peça,18
06/06/2023 09:28:39,otica-teffe,06/06/2023,1 solda,16
06/06/2023 09:40:34,otica-visiolux,06/06/2023,2 molas,40
06/06/2023 09:48:58,otica-marine,06/06/2023,1 mola,20
06/06/2023 11:46:36,otica-sao-braz,06/06/2023,1 conserto,16
06/06/2023 12:05:04,otica-anita,06/06/2023,1 conserto,16
06/06/2023 14:42:22,otica-sao-braz,06/06/2023,1 mola,20
06/06/2023 15:48:22,otica-viena,06/06/2023,os 503 1 mola,20
06/06/2023 16:39:16,otica-prado,06/06/2023,1 conserto + 1 peça + 1 ajuste,23
06/06/2023 16:55:06,otica-visiolux,06/06/2023,1 mola,20
06/06/2023 17:02:33,preco-pop-fazenda,06/06/2023,1 mola,20
06/06/2023 18:59:47,parque-otica,06/06/2023,1 mola + 1 ajuste,30
06/06/2023 19:20:52,outlet-dos-oculos,06/06/2023,1 mola,20
06/06/2023 19:30:20,otica-sao-braz,06/06/2023,1 conserto + 1 peça,18
06/06/2023 19:37:03,sao-braz-orleans,06/06/2023,1 ajuste,10
06/06/2023 19:58:29,otica-malosti,06/06/2023,1 mola,20
06/06/2023 19:58:40,otica-zonatto,06/06/2023,1 mola,20
07/06/2023 07:50:50,preco-popular-cic,06/06/2023,1 solda,16
07/06/2023 12:10:14,otica-marin,07/06/2023,1 mola,20
