Carimbo de data/hora,otica,Data,servicos,valor
02/05/2023 09:50:32,sao-braz-ponto-final,02/05/2023,fechamento anterior,393
02/05/2023 09:50:32,otica-perfil,02/05/2023,fechamento anterior,174
02/05/2023 09:50:32,otica-zonatto,02/05/2023,fechamento anterior,208
02/05/2023 09:50:32,otica-ampla-visao,02/05/2023,fechamento anterior,141
02/05/2023 09:50:32,outlet-dos-oculos,02/05/2023,fechamento anterior,421
02/05/2023 09:50:32,otica-malosti,02/05/2023,fechamento anterior,477
02/05/2023 09:50:32,otica-marine,02/05/2023,fechamento anterior,359
02/05/2023 09:50:32,otica-marin,02/05/2023,fechamento anterior,78
02/05/2023 09:50:32,klim-otica,02/05/2023,fechamento anterior,106
02/05/2023 09:50:32,visao-araucaria,02/05/2023,fechamento anterior,338
02/05/2023 09:50:32,preco-popular-cic,02/05/2023,fechamento anterior,16
02/05/2023 09:50:32,otica-malosti,02/05/2023,2 molas,40
02/05/2023 11:43:33,otica-central,02/05/2023,1 mola,20
02/05/2023 14:16:47,sao-braz-orleans,02/05/2023,1 mola + 1 conserto + 1 peça,38
02/05/2023 14:22:30,otica-visiolux,02/05/2023,1 mola,20
02/05/2023 15:47:36,otica-teffe,02/05/2023,1 mola,20
02/05/2023 16:54:24,outlet-dos-oculos,02/05/2023,1 ajuste,5
02/05/2023 17:14:53,otica-marine,02/05/2023,1 mola + 1 ajuste,30
02/05/2023 18:21:11,otica-visoluz,02/05/2023,3 consertos,48
02/05/2023 18:41:24,otica-anita,02/05/2023,1 solda,16
03/05/2023 09:33:15,otica-visiolux,02/05/2023,1 ajuste,10
03/05/2023 09:41:11,otica-ampla-visao,03/05/2023,1 solda,16
03/05/2023 10:16:45,parque-otica,03/05/2023,1 solda,16
03/05/2023 11:49:13,otica-perfil,03/05/2023,1 ajuste,10
03/05/2023 12:39:08,outlet-dos-oculos,03/05/2023,1 solda,16
03/05/2023 14:15:01,otica-zonatto,03/05/2023,1 plaqueta RB,12
03/05/2023 14:21:55,opticolor,03/05/2023,1 par de haste ,28
03/05/2023 14:27:44,parque-otica,03/05/2023,1 mola,20
03/05/2023 15:54:40,vista-alegre,03/05/2023,1 mola,20
03/05/2023 16:04:23,klim-otica,03/05/2023,1 conserto,16
03/05/2023 16:52:31,otica-marine,03/05/2023,1 ajuste,10
03/05/2023 17:39:49,otica-viena,03/05/2023,os 497 1 solda,16
03/05/2023 17:57:31,preco-pop-alm-tamandare,03/05/2023,1 solda + 1 peça,18
03/05/2023 18:31:42,otica-visiolux,03/05/2023,1 mola + 1 solda,36
03/05/2023 18:41:51,parque-otica,03/05/2023,2 molas,40
03/05/2023 19:08:52,otica-teffe,03/05/2023,1 solda,16
04/05/2023 10:17:08,otica-central,04/05/2023,1 mola,20
04/05/2023 10:34:11,visao-araucaria,04/05/2023,os 2396 1 conserto,16
04/05/2023 10:52:01,otica-ipanema,04/05/2023,1 mola - centro,20
04/05/2023 10:53:12,estilo-visao,04/05/2023,1 mola + 1 fio nylon,30
04/05/2023 11:29:48,otica-visiolux,04/05/2023,1 mola + 1 ponteira + 1 ajuste,42
04/05/2023 12:08:02,otica-miraluz,04/05/2023,2 consertos,32
04/05/2023 12:20:02,otica-malosti,04/05/2023,1 solda,16
04/05/2023 13:07:20,otica-anita,04/05/2023,1 solda,16
04/05/2023 14:23:49,opticolor,04/05/2023,1 mola + 1 limpeza,40
04/05/2023 15:04:37,preco-popular-cic,04/05/2023,1 conserto,16
04/05/2023 15:18:29,otica-marine,04/05/2023,1 ajuste,10
04/05/2023 15:52:06,outlet-dos-oculos,04/05/2023,2 soldas + 1 ajuste,42
04/05/2023 16:00:31,otica-viena,04/05/2023,os 498 1 mola,20
04/05/2023 16:49:14,preco-pop-fazenda,04/05/2023,1 mola,20
04/05/2023 19:00:04,parque-otica,04/05/2023,1 mola,20
04/05/2023 19:09:05,vista-alegre,04/05/2023,1 mola,20
04/05/2023 19:17:54,visao-araucaria,04/05/2023,os 2398 1 solda + 1 peça,18
04/05/2023 19:26:02,otica-visiolux,04/05/2023,1 mola + 1 ajuste,30
05/05/2023 08:01:33,outlet-dos-oculos,04/05/2023,1 mola,20
05/05/2023 08:12:48,otica-teffe,04/05/2023,1 par de haste,25
05/05/2023 10:35:32,outlet-dos-oculos,05/05/2023,1 solda,16
05/05/2023 10:50:49,opticolor,05/05/2023,1 solda + 1 par de haste,41
05/05/2023 11:02:28,preco-popular-duda-loja3,05/05/2023,1 conserto,16
05/05/2023 14:11:51,otica-visiolux,05/05/2023,1 ajuste,10
05/05/2023 14:17:10,outlet-dos-oculos,05/05/2023,1 ajuste,10
05/05/2023 14:44:57,sao-braz-orleans,05/05/2023,2 molas,40
05/05/2023 16:12:20,otica-ipanema,05/05/2023,1 mola NM,20
05/05/2023 16:23:43,outlet-dos-oculos,05/05/2023,1 par de haste,25
05/05/2023 17:07:00,preco-pop-fazenda,05/05/2023,1 mola + 1 conserto,36
05/05/2023 19:26:05,otica-teffe,05/05/2023,1 solda,16
05/05/2023 19:30:06,otica-visoluz,05/05/2023,1 solda + 2 peças + 1 conserto,36
05/05/2023 19:47:39,otica-visiolux,05/05/2023,1 solda + 1 conserto,32
06/05/2023 08:53:35,preco-pop-alm-tamandare,06/05/2023,1 solda + 1 peça,18
06/05/2023 09:35:44,outlet-dos-oculos,06/05/2023,1 conserto,16
06/05/2023 09:48:24,otica-ampla-visao,06/05/2023,2 soldas + 2 peças,36
06/05/2023 11:02:53,otica-anita,06/05/2023,1 conserto + 1 peça,20
08/05/2023 09:22:55,preco-popular-duda-loja3,08/05/2023,1 par de haste + 1 conserto,43
08/05/2023 14:28:23,klim-otica,08/05/2023,1 solda,16
08/05/2023 14:36:50,otica-teffe,08/05/2023,1 mola,20
08/05/2023 14:37:03,outlet-dos-oculos,08/05/2023,2 molas,40
08/05/2023 14:56:32,sao-braz-orleans,08/05/2023,1 ajuste,10
08/05/2023 15:17:47,estilo-visao,08/05/2023,1 ponteira,12
08/05/2023 16:06:56,otica-marine,08/05/2023,1 mola,20
08/05/2023 16:12:27,otica-sao-braz,08/05/2023,1 conserto,16
08/05/2023 16:42:24,otica-visoluz,08/05/2023,1 solda,16
08/05/2023 18:38:20,opticolor,08/05/2023,2 consertos,32
08/05/2023 18:52:54,otica-anita,08/05/2023,1 mola,20
08/05/2023 19:43:24,otica-teffe,08/05/2023,1 solda,16
08/05/2023 19:50:35,otica-visiolux,08/05/2023,1 mola + 1 ajuste,30
09/05/2023 09:01:13,outlet-dos-oculos,09/05/2023,1 ajuste,10
09/05/2023 12:03:34,klim-otica,09/05/2023,1 conserto,16
09/05/2023 12:54:23,otica-sao-braz,09/05/2023,1 conserto,18
09/05/2023 14:02:22,opticolor,09/05/2023,1 mola,20
09/05/2023 14:11:08,otica-anita,09/05/2023,1 solda + 1 mola,36
09/05/2023 14:43:15,otica-ipanema,09/05/2023,1 fio nylon,10
09/05/2023 14:49:34,otica-visiolux,09/05/2023,1 solda,16
09/05/2023 14:58:30,otica-miraluz,09/05/2023,1 mola + 1 ponteira,30
09/05/2023 15:02:56,otica-teffe,09/05/2023,1 limpeza,20
09/05/2023 15:13:48,sao-braz-orleans,09/05/2023,1 solda + 1 peça,20
09/05/2023 16:32:56,otica-viena,09/05/2023,os 500 1 solda,16
09/05/2023 17:11:30,outlet-dos-oculos,09/05/2023,1 ponteira,12
09/05/2023 17:36:43,otica-visoluz,09/05/2023,1 mola,20
09/05/2023 18:34:14,vista-alegre,09/05/2023,1 mola,20
09/05/2023 18:45:21,otica-visiolux,09/05/2023,1 par de haste,25
09/05/2023 18:55:16,otica-anita,09/05/2023,1 mola,20
09/05/2023 18:59:03,otica-malosti,09/05/2023,1 ajuste,10
09/05/2023 19:03:25,sao-braz-orleans,09/05/2023,1 conserto,16
09/05/2023 19:25:30,otica-miraluz,09/05/2023,1 par de haste,25
10/05/2023 10:02:28,klim-otica,10/05/2023,1 conserto + 1 peça,20
10/05/2023 14:14:49,otica-visiolux,10/05/2023,1 mola,20
10/05/2023 18:48:53,otica-sao-braz,10/05/2023,1 mola,20
10/05/2023 19:07:21,otica-viena,10/05/2023,os 17012 1 ajuste,10
10/05/2023 19:14:58,otica-perfil,10/05/2023,2 ajustes,20
10/05/2023 19:19:14,sao-braz-orleans,10/05/2023,1 ajuste,10
11/05/2023 11:08:02,preco-popular-duda-loja3,11/05/2023,1 ajuste,10
11/05/2023 13:24:59,otica-ampla-visao,11/05/2023,2 consertos,32
11/05/2023 13:30:32,outlet-dos-oculos,11/05/2023,1 solda,16
11/05/2023 13:56:38,otica-anita,11/05/2023,1 mola,20
